ID_venta,Producto,Categoria,Precio,Cantidad,Pais,Fecha
1,Almohada,Hogar,69.69,2,México,2025-03-23
2,Teclado Gamer,Electrónica,25.22,4,Colombia,2025-07-07
3,Carrito RC,Juguetes,10.46,1,Chile,2025-05-02
4,Lámpara LED,Hogar,15.97,5,México,2025-05-16
5,Lámpara LED,Hogar,53.66,4,Chile,2025-03-09
6,Calcetines,Ropa,38.04,2,Perú,2025-04-23
7,Pantalón Slim,Ropa,99.29,1,Perú,2025-06-15
8,Cafetera,Hogar,43.58,3,Argentina,2025-02-13
9,Teclado Gamer,Electrónica,96.75,1,México,2025-04-28
10,"Monitor 24""",Electrónica,21.91,1,Perú,2025-05-02
11,Lego Star Wars,Juguetes,28.66,1,Colombia,2025-06-20
12,Audífonos Bluetooth,Electrónica,90.86,5,México,2025-07-03
13,"Monitor 24""",Electrónica,6.57,3,Perú,2025-04-24
14,Pantalón Slim,Ropa,52.4,1,Argentina,2025-05-05
15,Teclado Gamer,Electrónica,19.25,3,Chile,2025-03-27
16,Teclado Gamer,Electrónica,91.51,2,Chile,2025-03-30
17,Audífonos Bluetooth,Electrónica,15.82,3,Argentina,2025-03-31
18,Audífonos Bluetooth,Electrónica,89.8,3,Colombia,2025-05-13
19,Lámpara LED,Hogar,23.74,5,Argentina,2025-04-28
20,Sudadera,Ropa,12.45,5,Argentina,2025-04-22
21,Camiseta XL,Ropa,9.68,5,Chile,2025-03-14
22,Lámpara LED,Hogar,84.79,3,Perú,2025-06-23
23,Muñeca,Juguetes,43.48,2,Argentina,2025-04-25
24,Teclado Gamer,Electrónica,72.7,5,México,2025-02-10
25,Sudadera,Ropa,79.83,1,Colombia,2025-04-18
26,Pantalón Slim,Ropa,6.04,1,Argentina,2025-01-13
27,Muñeca,Juguetes,77.71,4,Chile,2025-02-21
28,Pantalón Slim,Ropa,41.54,3,Perú,2025-05-02
29,Muñeca,Juguetes,11.82,3,Perú,2025-04-25
30,"Monitor 24""",Electrónica,59.07,4,México,2025-03-29
31,Mouse Inalámbrico,Electrónica,55.4,4,Colombia,2025-04-15
32,"Monitor 24""",Electrónica,58.77,4,México,2025-02-17
33,Pantalón Slim,Ropa,66.07,3,Perú,2025-01-25
34,Pantalón Slim,Ropa,17.83,4,Argentina,2025-05-12
35,Teclado Gamer,Electrónica,51.12,3,Colombia,2025-05-29
36,Sudadera,Ropa,77.26,2,Argentina,2025-03-13
37,Rompecabezas,Juguetes,64.05,1,Perú,2025-06-04
38,"Monitor 24""",Electrónica,84.05,4,Perú,2025-03-31
39,Carrito RC,Juguetes,75.01,3,Perú,2025-02-21
40,Almohada,Hogar,17.35,5,Colombia,2025-06-25
41,"Monitor 24""",Electrónica,37.6,4,Chile,2025-06-03
42,Camiseta XL,Ropa,57.74,5,Perú,2025-03-13
43,Lego Star Wars,Juguetes,20.27,4,Perú,2025-05-23
44,Rompecabezas,Juguetes,90.36,4,México,2025-04-01
45,Lego Star Wars,Juguetes,31.79,5,Argentina,2025-03-24
46,Teclado Gamer,Electrónica,24.47,5,México,2025-06-04
47,"Monitor 24""",Electrónica,44.87,3,Colombia,2025-05-11
48,Mouse Inalámbrico,Electrónica,33.44,2,Chile,2025-02-28
49,Calcetines,Ropa,17.35,1,Argentina,2025-06-22
50,Teclado Gamer,Electrónica,25.85,5,Colombia,2025-04-13
51,Lego Star Wars,Juguetes,87.92,4,Colombia,2025-02-26
52,Cafetera,Hogar,29.32,2,Argentina,2025-05-02
53,Lego Star Wars,Juguetes,78.74,5,Colombia,2025-07-06
54,Muñeca,Juguetes,73.17,3,Perú,2025-02-16
55,Audífonos Bluetooth,Electrónica,73.21,3,Chile,2025-02-26
56,Lego Star Wars,Juguetes,82.07,2,Argentina,2025-03-17
57,Sudadera,Ropa,52.48,4,Argentina,2025-01-19
58,Camiseta XL,Ropa,73.74,2,Argentina,2025-05-09
59,Teclado Gamer,Electrónica,73.59,4,México,2025-03-03
60,Lego Star Wars,Juguetes,91.55,5,Argentina,2025-03-09
61,Lámpara LED,Hogar,57.7,4,Chile,2025-03-06
62,Muñeca,Juguetes,18.56,2,Chile,2025-05-21
63,Rompecabezas,Juguetes,20.56,3,Colombia,2025-02-11
64,Audífonos Bluetooth,Electrónica,34.88,2,México,2025-02-19
65,"Monitor 24""",Electrónica,83.03,1,Chile,2025-07-08
66,Calcetines,Ropa,58.27,3,Colombia,2025-01-19
67,Lego Star Wars,Juguetes,48.69,1,Argentina,2025-02-02
68,Audífonos Bluetooth,Electrónica,52.4,5,Argentina,2025-04-30
69,Carrito RC,Juguetes,96.17,1,Argentina,2025-02-06
70,Camiseta XL,Ropa,42.55,4,Colombia,2025-05-07
